iter	Passed	Remaining
0	79	79283
1	100	50257
2	122	40742
3	144	36101
4	165	32896
5	185	30774
6	206	29337
7	227	28250
8	245	27021
9	269	26675
10	294	26487
11	319	26264
12	343	26062
13	365	25772
14	389	25548
15	412	25375
16	436	25251
17	459	25067
18	481	24859
19	506	24824
20	528	24615
21	551	24533
22	573	24340
23	599	24395
24	625	24410
25	650	24360
26	676	24371
27	702	24382
28	727	24347
29	753	24357
30	779	24369
31	805	24380
32	832	24404
33	858	24394
34	884	24382
35	910	24369
36	933	24297
37	958	24264
38	983	24224
39	1007	24173
40	1032	24156
41	1057	24127
42	1083	24113
43	1108	24080
44	1132	24038
45	1157	24006
46	1183	24001
47	1207	23952
48	1236	23999
49	1264	24029
50	1290	24005
51	1318	24028
52	1342	23981
53	1368	23969
54	1397	24005
55	1420	23948
56	1443	23887
57	1471	23894
58	1498	23904
59	1523	23860
60	1550	23866
61	1574	23813
62	1601	23821
63	1624	23756
64	1647	23697
65	1673	23682
66	1700	23684
67	1728	23693
68	1756	23699
69	1784	23708
70	1812	23710
71	1836	23670
72	1861	23632
73	1885	23598
74	1914	23607
75	1940	23594
76	1961	23508
77	1987	23497
78	2011	23455
79	2037	23436
80	2064	23421
81	2089	23390
82	2116	23380
83	2140	23342
84	2161	23265
85	2188	23255
86	2215	23250
87	2241	23228
88	2267	23209
89	2292	23176
90	2319	23166
91	2347	23169
92	2370	23122
93	2398	23113
94	2424	23098
95	2450	23079
96	2476	23056
97	2500	23012
98	2525	22986
99	2547	22925
100	2572	22893
101	2598	22880
102	2624	22860
103	2647	22805
104	2675	22804
105	2701	22786
106	2728	22775
107	2754	22747
108	2780	22728
109	2808	22720
110	2835	22712
111	2862	22693
112	2890	22688
113	2916	22666
114	2943	22652
115	2970	22639
116	2996	22614
117	3023	22601
118	3043	22533
119	3072	22534
120	3100	22526
121	3127	22509
122	3151	22471
123	3176	22442
124	3202	22414
125	3227	22390
126	3252	22358
127	3278	22335
128	3304	22312
129	3331	22298
130	3357	22269
131	3384	22253
132	3409	22223
133	3433	22186
134	3458	22162
135	3483	22132
136	3510	22111
137	3535	22081
138	3561	22062
139	3588	22044
140	3613	22017
141	3639	21987
142	3665	21966
143	3690	21935
144	3715	21908
145	3741	21886
146	3766	21856
147	3792	21831
148	3816	21797
149	3841	21767
150	3865	21731
151	3889	21699
152	3915	21677
153	3941	21652
154	3965	21619
155	3990	21590
156	4016	21567
157	4042	21540
158	4068	21517
159	4091	21481
160	4115	21448
161	4141	21420
162	4167	21400
163	4192	21373
164	4218	21349
165	4244	21323
166	4270	21303
167	4295	21270
168	4320	21243
169	4344	21209
170	4371	21194
171	4398	21175
172	4421	21138
173	4449	21124
174	4474	21093
175	4499	21067
176	4525	21043
177	4548	21004
178	4573	20977
179	4599	20954
180	4625	20928
181	4651	20904
182	4677	20881
183	4702	20855
184	4729	20835
185	4754	20806
186	4780	20782
187	4805	20756
188	4830	20726
189	4855	20701
190	4880	20673
191	4904	20641
192	4930	20614
193	4952	20577
194	4977	20549
195	5002	20522
196	5025	20484
197	5050	20457
198	5079	20447
199	5104	20418
200	5131	20397
201	5157	20372
202	5181	20343
203	5207	20317
204	5230	20285
205	5257	20263
206	5281	20233
207	5305	20201
208	5329	20169
209	5350	20128
210	5376	20106
211	5399	20070
212	5422	20036
213	5448	20012
214	5473	19984
215	5497	19953
216	5520	19921
217	5546	19897
218	5572	19870
219	5595	19839
220	5620	19813
221	5646	19786
222	5671	19760
223	5695	19732
224	5721	19706
225	5745	19675
226	5770	19651
227	5796	19626
228	5820	19595
229	5844	19565
230	5870	19543
231	5895	19515
232	5919	19486
233	5944	19458
234	5969	19433
235	5994	19406
236	6019	19377
237	6043	19350
238	6068	19321
239	6091	19289
240	6117	19266
241	6141	19235
242	6165	19206
243	6189	19175
244	6212	19145
245	6235	19110
246	6258	19078
247	6282	19048
248	6304	19015
249	6329	18988
250	6356	18967
251	6384	18950
252	6409	18923
253	6431	18889
254	6458	18867
255	6483	18841
256	6508	18815
257	6531	18785
258	6556	18757
259	6581	18732
260	6606	18705
261	6630	18677
262	6654	18649
263	6682	18629
264	6707	18604
265	6733	18579
266	6757	18552
267	6784	18531
268	6810	18507
269	6836	18484
270	6861	18457
271	6886	18430
272	6909	18400
273	6934	18372
274	6961	18352
275	6983	18319
276	7008	18292
277	7035	18270
278	7060	18246
279	7081	18210
280	7105	18181
281	7131	18157
282	7155	18128
283	7180	18102
284	7207	18082
285	7231	18054
286	7257	18029
287	7281	18001
288	7306	17975
289	7331	17950
290	7356	17923
291	7380	17895
292	7405	17869
293	7430	17843
294	7457	17821
295	7480	17792
296	7503	17761
297	7531	17741
298	7558	17720
299	7584	17696
300	7611	17675
301	7634	17645
302	7659	17618
303	7684	17594
304	7710	17569
305	7734	17542
306	7759	17516
307	7783	17488
308	7810	17466
309	7834	17437
310	7860	17413
311	7887	17393
312	7916	17374
313	7943	17354
314	7973	17338
315	7999	17315
316	8023	17287
317	8048	17260
318	8072	17233
319	8098	17209
320	8125	17188
321	8153	17167
322	8179	17143
323	8205	17120
324	8228	17090
325	8254	17066
326	8280	17042
327	8308	17021
328	8332	16994
329	8359	16972
330	8384	16945
331	8407	16916
332	8431	16887
333	8455	16859
334	8479	16833
335	8503	16805
336	8528	16779
337	8554	16755
338	8580	16730
339	8605	16705
340	8631	16680
341	8656	16655
342	8682	16631
343	8710	16610
344	8738	16591
345	8769	16575
346	8796	16553
347	8820	16526
348	8844	16498
349	8870	16474
350	8896	16450
351	8922	16425
352	8948	16402
353	8974	16376
354	9000	16352
355	9025	16327
356	9050	16301
357	9076	16277
358	9105	16258
359	9131	16234
360	9159	16213
361	9184	16187
362	9209	16161
363	9236	16138
364	9264	16117
365	9289	16091
366	9315	16067
367	9344	16047
368	9369	16022
369	9396	16000
370	9422	15974
371	9448	15951
372	9475	15927
373	9503	15907
374	9530	15884
375	9556	15859
376	9584	15838
377	9608	15811
378	9636	15790
379	9665	15769
380	9693	15748
381	9720	15726
382	9747	15702
383	9774	15680
384	9802	15659
385	9829	15635
386	9855	15611
387	9883	15588
388	9909	15564
389	9936	15541
390	9963	15518
391	9993	15499
392	10021	15478
393	10048	15455
394	10076	15433
395	10105	15412
396	10132	15390
397	10160	15367
398	10186	15343
399	10222	15333
400	10441	15596
401	10476	15584
402	10532	15602
403	10559	15577
404	10590	15558
405	10616	15533
406	10644	15509
407	10670	15482
408	10698	15459
409	10723	15431
410	10749	15404
411	10775	15378
412	10801	15351
413	10830	15330
414	10857	15305
415	10883	15279
416	10909	15252
417	10936	15226
418	10964	15203
419	10992	15179
420	11017	15152
421	11044	15127
422	11072	15103
423	11100	15079
424	11128	15056
425	11156	15032
426	11183	15008
427	11211	14983
428	11237	14957
429	11262	14929
430	11289	14903
431	11320	14883
432	11349	14861
433	11377	14837
434	11403	14811
435	11431	14787
436	11459	14763
437	11488	14741
438	11516	14716
439	11545	14694
440	11576	14673
441	11605	14651
442	11632	14625
